country,cluster,cluster_type,volatility_std,extreme_positive_count,extreme_negative_count,stability_inverse_volatility,time_in_normal_range,recovery_speed
Trinidad and Tobago,0,Stable Markets,0.37459910543929276,0,0,2.6624131567896607,1.0,1.0
Moldova,0,Stable Markets,0.3801778584842003,0,0,2.623447237928825,1.0,1.0
Kiribati,0,Stable Markets,0.4077439172333737,0,0,2.4465195880310717,0.9285714285714286,1.0
Suriname,0,Stable Markets,0.4084221755357902,0,0,2.4424666267559894,1.0,1.0
Maldives,0,Stable Markets,0.4318895361415595,0,0,2.310058147658689,1.0,1.0
Antigua and Barbuda,0,Stable Markets,0.4382921400162225,0,0,2.2763894659327875,1.0,1.0
Cambodia,0,Stable Markets,0.4454577857540362,0,0,2.239853423792508,1.0,1.0
Philippines,0,Stable Markets,0.44741752250707256,0,0,2.2300645041903504,0.9411764705882353,1.0
Qatar,0,Stable Markets,0.46682219225704497,0,0,2.137564263840117,1.0,1.0
Comoros,0,Stable Markets,0.48060123909578945,0,0,2.0764066178017084,1.0,1.0
Tonga,0,Stable Markets,0.49152615310243003,0,0,2.030349035682642,1.0,1.0
Oman,0,Stable Markets,0.49541623398709816,0,0,2.014438552841505,1.0,1.0
Azerbaijan,0,Stable Markets,0.5305258135933528,1,0,1.8813761710641137,0.9166666666666666,1.0
Ukraine,0,Stable Markets,0.5324332893541281,1,0,1.8746486579620534,0.9411764705882353,1.0
Ethiopia,0,Stable Markets,0.5465852190299787,0,0,1.8261997680862398,0.9210526315789473,1.0
El Salvador,0,Stable Markets,0.5500735225199581,1,0,1.8146398967367974,0.9423076923076923,1.0
Serbia,0,Stable Markets,0.5800914776558777,1,0,1.7208994426041127,0.9285714285714286,1.0
Indonesia,0,Stable Markets,0.5801995987541388,0,1,1.7205793020910594,0.9117647058823529,1.0
"Micronesia, Fed. Sts.",0,Stable Markets,0.585557905953365,0,0,1.704861514695032,0.8571428571428571,1.0
Liberia,0,Stable Markets,0.593983869086269,0,1,1.6807178344779734,0.9285714285714286,1.0
"Korea, Rep.",0,Stable Markets,0.6023943833200602,0,0,1.6572908658806111,0.8333333333333334,1.0
Iceland,0,Stable Markets,0.6055457986690308,0,0,1.648680119777175,0.9285714285714286,1.0
Senegal,0,Stable Markets,0.6061983224456049,1,0,1.6469083708471275,0.8918918918918919,0.75
Tajikistan,0,Stable Markets,0.608238087781891,0,0,1.6413944237150235,0.8571428571428571,0.5
Greenland,0,Stable Markets,0.6289126508895966,0,0,1.587521696203031,0.8571428571428571,1.0
Syrian Arab Republic,0,Stable Markets,0.6295794214663344,1,0,1.5858430610923264,0.8181818181818182,1.0
Seychelles,0,Stable Markets,0.6306139703430592,0,0,1.5832455375501797,0.8571428571428571,1.0
Madagascar,0,Stable Markets,0.6314790703788452,0,0,1.5810799864112743,0.8571428571428571,0.5
Mali,0,Stable Markets,0.6335774640030704,0,1,1.575851738717216,0.9090909090909091,1.0
Malaysia,0,Stable Markets,0.6337980750996329,0,0,1.5753040836537633,0.8571428571428571,0.5
Palau,0,Stable Markets,0.6363243461234119,0,0,1.5690597826406576,0.8571428571428571,1.0
Bolivia,0,Stable Markets,0.6433773795210233,0,2,1.5518856368659575,0.8636363636363636,0.8333333333333334
Mongolia,0,Stable Markets,0.6555274692762909,1,0,1.5231655137024636,0.8529411764705882,1.0
Uruguay,0,Stable Markets,0.6596100754199082,1,0,1.5137522681051496,0.8837209302325582,0.8
Aruba,0,Stable Markets,0.6654199226574057,0,0,1.500555379575712,0.8571428571428571,1.0
Jamaica,0,Stable Markets,0.6707656301661892,0,1,1.488614414156033,0.9285714285714286,1.0
