country,volatility_std,high_volatility_periods,extreme_positive_count,extreme_negative_count,crisis_events,total_extreme_events,max_positive_extreme,max_negative_extreme,avg_extreme_magnitude,stability_inverse_volatility,time_in_normal_range,recovery_speed,consistency_score,cluster
Haiti,0.7338554740044964,11,2,0,0,2,1.8,0.0,1.1033333333333333,1.36081179956466,0.8163265306122449,0.875,0.5906238464377999,0
Honduras,0.9541298758651077,12,2,3,2,5,3.21,-1.72,0.2916666666666667,1.046978034368626,0.8181818181818182,1.0,0.5118362124120281,0
Hungary,1.2828026500163185,7,1,1,2,2,4.83,-2.93,0.36333333333333323,0.7789359213328381,0.75,0.6666666666666666,0.45204402515723274,0
Iceland,0.6055457986690308,5,0,0,0,0,0.0,0.0,-1.46,1.648680119777175,0.9285714285714286,1.0,0.5800981704596162,0
Afghanistan,0.7183584682377516,3,0,1,1,1,0.0,-2.73,-2.02,1.3901275152147023,0.9166666666666666,0.5,0.6590257879656161,0
India,2.010614720814397,11,1,2,2,3,2.37,-10.08,-1.068888888888889,0.4971130851513916,0.7,0.6666666666666666,0.41117255068765063,0
Albania,0.9073410919510133,5,1,0,1,1,2.63,0.0,1.9049999999999998,1.1009080276794632,0.8571428571428571,0.0,0.5239822652156388,0
Indonesia,0.5801995987541388,9,0,1,0,1,0.0,-1.69,-0.49,1.7205793020910594,0.9117647058823529,1.0,0.5980427691192461,0
"Iran, Islamic Rep.",3.25135777948351,11,3,0,1,3,15.59,0.0,2.7842857142857143,0.3074692477894621,0.6956521739130435,0.7142857142857143,0.2898932665700356,1
Algeria,0.9264351800623414,4,0,1,0,1,0.0,-1.58,-0.32199999999999995,1.0782424707382579,0.6428571428571429,0.6,0.5430242272347535,0
Andorra,1.2002839800035079,6,4,1,1,5,2.68,-1.69,0.8785714285714287,0.8324426335870058,0.5,0.3333333333333333,0.5080109417741305,0
Angola,1.0300656309583542,6,0,4,0,4,0.0,-1.73,-0.7449999999999999,0.9698703651585406,0.42857142857142855,0.5,0.5173099880620772,0
Iraq,11.596500040253257,14,2,4,5,6,65.23,-7.1,4.627,0.08622547932995418,0.6875,0.5,0.15123426675773247,1
Antigua and Barbuda,0.4382921400162225,2,0,0,0,0,0.0,0.0,0.0,2.2763894659327875,1.0,1.0,0.6407097092163627,0
Ireland,0.8985123759837247,5,1,0,1,1,2.35,0.0,0.4600000000000001,1.1117134424152642,0.8571428571428571,1.0,0.5671902268760907,0
Israel,0.8251056781802493,11,0,4,2,4,0.0,-2.85,-1.3671428571428572,1.2104988821803115,0.8409090909090909,0.5714285714285714,0.5771812080536913,0
Azerbaijan,0.5305258135933528,4,1,0,0,1,1.68,0.0,1.37,1.8813761710641137,0.9166666666666666,1.0,0.6457046603032005,0
Italy,1.1314459073547622,18,2,3,4,5,2.78,-3.27,0.15416666666666665,0.8830443851714405,0.7142857142857143,0.5833333333333334,0.47768845392054066,1
Cote d'Ivoire,1.1134424067079336,9,3,1,2,4,3.27,-2.51,0.4242857142857144,0.8973097164832441,0.7083333333333334,0.6666666666666666,0.49071901002773627,0
Argentina,1.3346016603074875,9,5,1,4,6,2.44,-5.67,1.0154545454545454,0.7487262330669581,0.6764705882352942,0.5,0.4976624943447444,1
Jamaica,0.6707656301661892,4,0,1,0,1,0.0,-1.89,-1.89,1.488614414156033,0.9285714285714286,1.0,0.5963302752293578,0
Australia,0.7632342567077588,4,1,1,0,2,1.56,-1.56,-0.37333333333333335,1.3084993131659595,0.7857142857142857,1.0,0.518341307814992,0
Japan,1.8994988802559871,14,1,2,3,3,2.36,-9.7,-1.4085714285714286,0.5261776317728245,0.78125,1.0,0.388665997993982,0
Kazakhstan,1.1996397028552641,7,2,1,2,3,4.5,-2.17,1.346,0.8328893319302044,0.7916666666666666,0.75,0.5069429138197046,0
Austria,0.9049950122637263,8,0,2,0,2,0.0,-1.93,-0.15000000000000002,1.1037588358255883,0.75,0.5,0.4711183941007783,0
